ref	value	footprint	Field1	Field2	Field3	Field4	Field5	Field6	Field7	Field8
C1	10n	c_0805
C2	100n	c_0805
D1	Z5V1	SOD323F
D2	Z5V1	SOD323F
D3	1N4448WT	SOD523F
K2	ISP	pin_strip_6b
P1	LAMP	pin_strip_2
P2	12V	Header_12V
P3	ND	Pad01
PB3	ND	Pad01
PCB1	PCB	PCB
Q1	2N7000	SOT23-3
R1	4K7	r_0805
R2	470E	r_0805
R3	2k2	r_0805
U1	ATTINY45-20SU	SO8E
